id,topico,subtopico,dificuldade,tempo_estimado,enunciado
67,Trigonometria,Identidades trigonométricas,7,11,"Simplifique a expressão trigonométrica"
68,Trigonometria,Arcos e ângulos,4,6,"Converta 180 graus para radianos"
69,Trigonometria,Função seno,6,10,"Analise o gráfico da função seno"
70,Trigonometria,Função cosseno,6,10,"Analise o gráfico da função cosseno"
71,Probabilidade,Probabilidade condicional,7,12,"Calcule a probabilidade condicional"
72,Probabilidade,Distribuição binomial,8,13,"Resolva a distribuição binomial"
73,Probabilidade,Espaço amostral,3,5,"Determine o espaço amostral"
74,Probabilidade,Eventos mutuamente exclusivos,5,8,"Calcule a probabilidade dos eventos"
75,Probabilidade,Experimentos aleatórios,4,7,"Classifique o experimento aleatório"
76,Estatística,Gráfico de barras,2,4,"Interprete o gráfico de barras"
77,Estatística,Gráfico de setores,3,5,"Analise o gráfico de pizza"
78,Estatística,Tabela de frequência,4,6,"Monte a tabela de frequência"
79,Estatística,Coeficiente de variação,7,11,"Calcule o coeficiente de variação"
80,Estatística,Distribuição normal,8,13,"Resolva utilizando distribuição normal"
81,Cálculo,Limite lateral,7,11,"Calcule o limite lateral da função"
82,Cálculo,Derivada implícita,9,15,"Calcule a derivada implícita"
83,Cálculo,Integral definida,9,15,"Resolva a integral definida"
84,Cálculo,Regra da cadeia,8,13,"Aplique a regra da cadeia"
85,Cálculo,Máximos e mínimos,8,13,"Determine os pontos críticos da função"
86,Lógica,Negação lógica,2,4,"Negue a proposição apresentada"
87,Lógica,Tautologia,5,8,"Verifique se a proposição é tautológica"
88,Lógica,Contradição,5,8,"Identifique a contradição lógica"
89,Lógica,Silogismo,6,10,"Resolva o silogismo lógico"
90,Lógica,Inferência lógica,7,12,"Determine a inferência válida"
91,Física,Gravitação,6,10,"Calcule a força gravitacional"
92,Física,Hidrostática,7,12,"Determine a pressão exercida"
93,Física,Termologia,5,8,"Calcule a quantidade de calor"
94,Física,Óptica,6,10,"Determine a distância focal"
95,Física,Eletrodinâmica,8,14,"Calcule a resistência equivalente"
96,Química,Estados físicos,2,4,"Identifique o estado físico da matéria"
97,Química,Tabela periódica,3,5,"Classifique os elementos químicos"
98,Química,Soluções químicas,5,8,"Calcule a concentração da solução"
99,Química,Oxidação,7,11,"Determine o número de oxidação"
100,Química,Termoquímica,8,14,"Calcule a variação de entalpia"
